child,parent
ORPHA:101960,ORPHA:557492
ORPHA:101963,ORPHA:101959
ORPHA:101963,ORPHA:557492
ORPHA:101972,ORPHA:179006
ORPHA:101972,ORPHA:557492
ORPHA:101977,ORPHA:179006
ORPHA:101977,ORPHA:557492
ORPHA:101985,ORPHA:101988
ORPHA:101985,ORPHA:557492
ORPHA:101987,ORPHA:101985
ORPHA:101987,ORPHA:506219
ORPHA:101987,ORPHA:557492
ORPHA:101988,ORPHA:101997
ORPHA:101988,ORPHA:557492
ORPHA:101992,ORPHA:101988
ORPHA:101992,ORPHA:557492
ORPHA:101995,ORPHA:557492
ORPHA:101995,ORPHA:93665
ORPHA:101997,ORPHA:183770
ORPHA:101997,ORPHA:557492
ORPHA:101997,ORPHA:98004
ORPHA:101998,ORPHA:557492
ORPHA:101998,ORPHA:98006
ORPHA:102,ORPHA:377788
ORPHA:102,ORPHA:557493
ORPHA:1020,ORPHA:377788
ORPHA:1020,ORPHA:557493
ORPHA:102000,ORPHA:557492
ORPHA:102000,ORPHA:98006
ORPHA:102002,ORPHA:557492
ORPHA:102002,ORPHA:98006
ORPHA:102003,ORPHA:557492
ORPHA:102003,ORPHA:98006
ORPHA:102005,ORPHA:182064
ORPHA:102005,ORPHA:557492
ORPHA:102006,ORPHA:557492
ORPHA:102006,ORPHA:71281
ORPHA:102009,ORPHA:48471
ORPHA:102009,ORPHA:557492
ORPHA:102010,ORPHA:48471
ORPHA:102010,ORPHA:557492
ORPHA:102011,ORPHA:48471
ORPHA:102011,ORPHA:557492
ORPHA:102012,ORPHA:557492
ORPHA:102012,ORPHA:685
ORPHA:102013,ORPHA:557492
ORPHA:102013,ORPHA:685
ORPHA:102014,ORPHA:263
ORPHA:102014,ORPHA:557492
ORPHA:102015,ORPHA:263
ORPHA:102015,ORPHA:557492
ORPHA:102020,ORPHA:557492
ORPHA:102020,ORPHA:98127
ORPHA:102021,ORPHA:163582
ORPHA:102021,ORPHA:557492
ORPHA:102022,ORPHA:102021
ORPHA:102022,ORPHA:557492
ORPHA:102023,ORPHA:102021
ORPHA:102023,ORPHA:557492
ORPHA:102024,ORPHA:289635
ORPHA:102024,ORPHA:557492
ORPHA:1021,ORPHA:377788
ORPHA:1021,ORPHA:557493
ORPHA:102237,ORPHA:101995
ORPHA:102237,ORPHA:557492
ORPHA:102283,ORPHA:102369
ORPHA:102283,ORPHA:557492
ORPHA:102283,ORPHA:68341
ORPHA:102285,ORPHA:557492
ORPHA:102285,ORPHA:68341
ORPHA:1023,ORPHA:557494
ORPHA:102369,ORPHA:557492
ORPHA:102369,ORPHA:87277
ORPHA:102379,ORPHA:377788
ORPHA:102379,ORPHA:557493
ORPHA:102381,ORPHA:377788
ORPHA:102381,ORPHA:557493
ORPHA:102724,ORPHA:377788
ORPHA:102724,ORPHA:557493
ORPHA:1028,ORPHA:377789
ORPHA:1028,ORPHA:557493
ORPHA:1031,ORPHA:377789
ORPHA:1031,ORPHA:557493
ORPHA:1035,ORPHA:377790
ORPHA:1035,ORPHA:557493
